,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
106,eventsourcing-django,pyeventsourcing/eventsourcing-django,eventsourcing-django,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-django,https://github.com/pyeventsourcing/eventsourcing-django,BSD-3-Clause,2021-07-15 13:39:46,2023-04-21 22:50:00,2023-03-16 17:14:44,142.0,3.0,7.0,3.0,16.0,2.0,1.0,29,,,,Python package for eventsourcing with Django.,4.0,4.0,5.0,https://pypi.org/project/eventsourcing-django,855.0,855.0,11,True,2,,,,,
107,django-encrypted-model-fields,,django-encrypted-model-fields,[],encrpyted-fields,,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields,,2018-06-05 14:35:48,2018-06-05 14:35:48,,,,25.0,,,6.0,20.0,32,,,4.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,,,,https://pypi.org/project/django-encrypted-model-fields,57287.0,57287.0,10,True,3,,,,lansharkconsulting/django/django-encrypted-model-fields,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields
108,django-ninja-apikey,mawassk/django-ninja-apikey,django-ninja-apikey,[],restful-api-ninja,https://github.com/mawassk/django-ninja-apikey,https://github.com/mawassk/django-ninja-apikey,MIT,2021-07-13 08:29:30,2023-05-04 12:31:25,2021-08-27 13:54:10,39.0,,2.0,1.0,11.0,1.0,1.0,19,2021-08-16 12:00:23,0.2.1,2.0,Easy to use API key authentication for Django Ninja REST Framework.,4.0,4.0,,https://pypi.org/project/django-ninja-apikey,270.0,270.0,10,False,3,,,,,
109,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,MIT,2021-06-11 15:38:15,2023-05-03 19:58:13,2023-02-01 11:00:56,95.0,,2.0,2.0,105.0,,4.0,4,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3.0,https://pypi.org/project/django-fsm-freeze,1074.0,1074.0,10,False,3,,,,,
110,django-locking,debrouwere/django-locking,django-locking,[],locking,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21.0,,13.0,5.0,9.0,,,138,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3.0,https://pypi.org/project/django-locking,64.0,64.0,8,False,3,,,,,
111,django-discord-integration,Ninjaclasher/django-discord-integration,django-discord-integration,[],messaging,https://github.com/Ninjaclasher/django-discord-integration,https://github.com/Ninjaclasher/django-discord-integration,AGPL-3.0,2019-05-12 19:51:58,2023-04-08 02:13:10,2023-04-08 02:12:54,42.0,1.0,1.0,2.0,1.0,,2.0,16,2023-01-04 23:09:31,1.2.5,3.0,"Discord integration for Django, supporting error reporting via webhooks.",4.0,4.0,2.0,https://pypi.org/project/django-discord-integration,343.0,343.0,8,False,3,,,,,
112,django-address-model,agusmakmun/django-address-model,django-address-model,[],fields-addresses,https://github.com/agusmakmun/django-address-model,https://github.com/agusmakmun/django-address-model,MIT,2019-08-10 11:31:13,2020-11-18 09:48:51,2020-11-18 09:46:12,14.0,,3.0,2.0,,2.0,,13,2020-11-18 09:49:40,1.0.4,1.0,"django abstract model that provide the complete address, eg: no, na/rt, ca/rw, village/desa, sub district/kecamatan,..",6.0,6.0,,https://pypi.org/project/django-address-model,121.0,121.0,8,False,3,,,,,
113,eventsourcing-eventstoredb,pyeventsourcing/eventsourcing-eventstoredb,eventsourcing-eventstoredb,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,BSD-3-Clause,2021-07-15 13:43:52,2023-05-16 20:08:05,2023-05-16 20:07:59,29.0,2.0,1.0,1.0,1.0,,,11,,,,Python package for eventsourcing with EventStoreDB.,,,2.0,https://pypi.org/project/eventsourcing-eventstoredb,165.0,165.0,6,False,3,2.0,,,,
114,django-searchable-encrypted-fields,,django-searchable-encrypted-fields,[],encrpyted-fields,,https://gitlab.com/guywillett/django-searchable-encrypted-fields,,2019-04-09 15:14:16,2019-04-09 15:14:16,,,,2.0,,,4.0,14.0,9,,,4.0,,,,,https://pypi.org/project/django-searchable-encrypted-fields,20431.0,20431.0,6,False,3,,,,guywillett/django-searchable-encrypted-fields,https://gitlab.com/guywillett/django-searchable-encrypted-fields
115,django-channels-discord,AdvocatesInc/django-channels-discord,django-channels-discord,[],messaging,https://github.com/AdvocatesInc/django-channels-discord,https://github.com/AdvocatesInc/django-channels-discord,MIT,2019-06-12 18:59:13,2022-02-14 14:17:21,2022-02-08 05:58:49,9.0,,1.0,2.0,,1.0,2.0,12,2022-01-12 02:01:46,0.2.0,4.0,An interface server connecting Djangos Channels and Discord.,,,,https://pypi.org/project/django-channels-discord,,,5,False,3,,,,,
116,eventsourcing-dynamodb,pyeventsourcing/eventsourcing-dynamodb,eventsourcing-dynamodb,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-dynamodb,https://github.com/pyeventsourcing/eventsourcing-dynamodb,BSD-3-Clause,2021-07-15 13:42:53,2022-10-07 23:00:38,2022-10-07 23:00:38,5.0,,1.0,1.0,2.0,,,3,,,,Python package for eventsourcing with DynamoDB.,,,3.0,https://pypi.org/project/eventsourcing-dynamodb,,,4,False,3,,,,,
117,django-ninja-auth,mugartec/django-ninja-auth,django-ninja-auth,[],restful-api-ninja,https://github.com/mugartec/django-ninja-auth,https://github.com/mugartec/django-ninja-auth,WTFPL,2021-07-21 19:04:17,2022-07-26 05:35:02,2021-10-12 16:16:19,21.0,,2.0,2.0,2.0,2.0,1.0,13,,,,,,,5.0,https://pypi.org/project/django-ninja-auth,28.0,28.0,3,False,3,,,,,
118,eventsourcing-axonserver,pyeventsourcing/eventsourcing-axonserver,eventsourcing-axonserver,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-axonserver,https://github.com/pyeventsourcing/eventsourcing-axonserver,BSD-3-Clause,2022-05-03 22:48:32,2023-02-14 14:23:39,2023-02-14 14:23:22,19.0,,,1.0,,,,1,,,,Python package for eventsourcing with Axon Server.,,,,https://pypi.org/project/eventsourcing-axonserver,19.0,19.0,3,False,3,,,,,
